1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
65.0936 	EXP 	grating: ori = 3.0
65.0936 	EXP 	fixation: autoDraw = True
66.0933 	EXP 	grating: autoDraw = True
66.1097 	EXP 	fixation: autoDraw = False
66.4052 	EXP 	grating: autoDraw = False
66.9945 	EXP 	New trial (rep=28, index=0): None
66.9985 	DATA 	Keypress: down
67.0036 	EXP 	fixation: autoDraw = False
67.0036 	EXP 	grating: autoDraw = False
67.0036 	EXP 	grating: ori = 0.0
67.0036 	EXP 	fixation: autoDraw = True
68.0091 	EXP 	fixation: autoDraw = False
68.0091 	EXP 	grating: autoDraw = True
68.3053 	EXP 	grating: autoDraw = False
68.9759 	EXP 	New trial (rep=29, index=0): None
68.9785 	DATA 	Keypress: up
68.9838 	EXP 	fixation: autoDraw = False
68.9838 	EXP 	grating: autoDraw = False
68.9838 	EXP 	grating: ori = 0.0
68.9838 	EXP 	fixation: autoDraw = True
69.9756 	EXP 	grating: autoDraw = True
69.9887 	EXP 	fixation: autoDraw = False
70.2919 	EXP 	grating: autoDraw = False
71.0094 	EXP 	New trial (rep=30, index=0): None
71.0122 	DATA 	Keypress: up
71.0264 	EXP 	fixation: autoDraw = False
71.0264 	EXP 	grating: autoDraw = False
71.0264 	EXP 	grating: ori = -2.0
71.0264 	EXP 	fixation: autoDraw = True
72.0260 	EXP 	grating: autoDraw = True
72.0424 	EXP 	fixation: autoDraw = False
72.3221 	EXP 	grating: autoDraw = False
72.7259 	EXP 	New trial (rep=31, index=0): None
72.7285 	DATA 	Keypress: down
72.7340 	EXP 	fixation: autoDraw = False
72.7340 	EXP 	grating: autoDraw = False
72.7340 	EXP 	grating: ori = 0.0
72.7340 	EXP 	fixation: autoDraw = True
73.7254 	EXP 	grating: autoDraw = True
73.7387 	EXP 	fixation: autoDraw = False
74.0426 	EXP 	grating: autoDraw = False
74.5132 	EXP 	New trial (rep=32, index=0): None
74.5159 	DATA 	Keypress: up
74.5254 	EXP 	fixation: autoDraw = False
74.5254 	EXP 	grating: autoDraw = False
74.5254 	EXP 	grating: ori = -4.0
74.5254 	EXP 	fixation: autoDraw = True
75.5258 	EXP 	fixation: autoDraw = False
75.5258 	EXP 	grating: autoDraw = True
75.8432 	EXP 	grating: autoDraw = False
76.1297 	EXP 	New trial (rep=33, index=0): None
76.1324 	DATA 	Keypress: down
76.1383 	EXP 	fixation: autoDraw = False
76.1383 	EXP 	grating: autoDraw = False
76.1383 	EXP 	grating: ori = 1.0
76.1383 	EXP 	fixation: autoDraw = True
77.1388 	EXP 	fixation: autoDraw = False
77.1388 	EXP 	grating: autoDraw = True
77.4430 	EXP 	grating: autoDraw = False
77.7137 	EXP 	New trial (rep=34, index=0): None
77.7164 	DATA 	Keypress: up
77.7259 	EXP 	fixation: autoDraw = False
77.7259 	EXP 	grating: autoDraw = False
77.7259 	EXP 	grating: ori = -4.0
77.7259 	EXP 	fixation: autoDraw = True
78.7268 	EXP 	fixation: autoDraw = False
78.7268 	EXP 	grating: autoDraw = True
79.0434 	EXP 	grating: autoDraw = False
79.3136 	EXP 	New trial (rep=35, index=0): None
79.3164 	DATA 	Keypress: down
79.3254 	EXP 	fixation: autoDraw = False
79.3254 	EXP 	grating: autoDraw = False
79.3254 	EXP 	grating: ori = -3.0
79.3254 	EXP 	fixation: autoDraw = True
80.3259 	EXP 	fixation: autoDraw = False
80.3259 	EXP 	grating: autoDraw = True
80.6427 	EXP 	grating: autoDraw = False
81.1139 	EXP 	New trial (rep=36, index=0): None
81.1167 	DATA 	Keypress: down
81.1257 	EXP 	fixation: autoDraw = False
81.1257 	EXP 	grating: autoDraw = False
81.1257 	EXP 	grating: ori = 3.0
81.1257 	EXP 	fixation: autoDraw = True
82.1255 	EXP 	fixation: autoDraw = False
82.1255 	EXP 	grating: autoDraw = True
82.4425 	EXP 	grating: autoDraw = False
82.9804 	EXP 	New trial (rep=37, index=0): None
82.9831 	DATA 	Keypress: down
82.9920 	EXP 	fixation: autoDraw = False
82.9920 	EXP 	grating: autoDraw = False
82.9920 	EXP 	grating: ori = 0.0
82.9920 	EXP 	fixation: autoDraw = True
83.9927 	EXP 	fixation: autoDraw = False
83.9927 	EXP 	grating: autoDraw = True
84.3096 	EXP 	grating: autoDraw = False
84.5804 	EXP 	New trial (rep=38, index=0): None
84.5831 	DATA 	Keypress: up
84.5925 	EXP 	fixation: autoDraw = False
84.5925 	EXP 	grating: autoDraw = False
84.5925 	EXP 	grating: ori = 0.0
84.5925 	EXP 	fixation: autoDraw = True
85.5926 	EXP 	fixation: autoDraw = False
85.5926 	EXP 	grating: autoDraw = True
85.9098 	EXP 	grating: autoDraw = False
86.3304 	EXP 	New trial (rep=39, index=0): None
86.3333 	DATA 	Keypress: up
86.3387 	EXP 	fixation: autoDraw = False
86.3387 	EXP 	grating: autoDraw = False
86.3387 	EXP 	grating: ori = 0.0
